"Continente";"País de Residência Permanente";"Unidade da Federação";"Ano";"Mês";"Chegadas"
"África";"Angola";"Amazonas";"2011";"Março";"6"
"África";"Angola";"Amazonas";"2011";"Abril";"0"
"África";"Angola";"Amazonas";"2011";"Maio";"0"
"África";"Angola";"Amazonas";"2011";"Junho";"0"
"África";"Angola";"Amazonas";"2011";"Julho";"0"
"África";"Angola";"Amazonas";"2011";"Agosto";"0"
"África";"Angola";"Amazonas";"2011";"Setembro";"0"
"África";"Angola";"Amazonas";"2011";"Outubro";"2"
"África";"Angola";"Amazonas";"2011";"Novembro";"0"
"África";"Angola";"Amazonas";"2011";"Dezembro";"1"
"África";"Angola";"Bahia";"2011";"Janeiro";"5"
"África";"Angola";"Bahia";"2011";"Fevereiro";"2"
"África";"Angola";"Bahia";"2011";"Março";"0"
"África";"Angola";"Bahia";"2011";"Abril";"1"
"África";"Angola";"Bahia";"2011";"Maio";"1"
"África";"Angola";"Bahia";"2011";"Junho";"7"
"África";"Angola";"Bahia";"2011";"Julho";"5"
"África";"Angola";"Bahia";"2011";"Agosto";"5"
"África";"Angola";"Bahia";"2011";"Setembro";"10"
"África";"Angola";"Bahia";"2011";"Outubro";"1"
"África";"Angola";"Bahia";"2011";"Novembro";"2"
"África";"Angola";"Bahia";"2011";"Dezembro";"35"
"África";"Angola";"Ceará";"2011";"Janeiro";"5"
"África";"Angola";"Ceará";"2011";"Fevereiro";"5"
"África";"Angola";"Ceará";"2011";"Março";"6"
"África";"Angola";"Ceará";"2011";"Abril";"1"
"África";"Angola";"Ceará";"2011";"Maio";"0"
"África";"Angola";"Ceará";"2011";"Junho";"0"
"África";"Angola";"Ceará";"2011";"Julho";"0"
"África";"Angola";"Ceará";"2011";"Agosto";"1"
"África";"Angola";"Ceará";"2011";"Setembro";"1"
"África";"Angola";"Ceará";"2011";"Outubro";"3"
"África";"Angola";"Ceará";"2011";"Novembro";"3"
"África";"Angola";"Ceará";"2011";"Dezembro";"1"
"África";"Angola";"Distrito Federal";"2011";"Janeiro";"1"
"África";"Angola";"Distrito Federal";"2011";"Fevereiro";"1"
"África";"Angola";"Distrito Federal";"2011";"Março";"1"
"África";"Angola";"Distrito Federal";"2011";"Abril";"0"
"África";"Angola";"Distrito Federal";"2011";"Maio";"0"
"África";"Angola";"Distrito Federal";"2011";"Junho";"6"
"África";"Angola";"Distrito Federal";"2011";"Julho";"2"
"África";"Angola";"Distrito Federal";"2011";"Agosto";"4"
"África";"Angola";"Distrito Federal";"2011";"Setembro";"12"
"África";"Angola";"Distrito Federal";"2011";"Outubro";"2"
"África";"Angola";"Distrito Federal";"2011";"Novembro";"7"
"África";"Angola";"Distrito Federal";"2011";"Dezembro";"6"
"África";"Angola";"Mato Grosso do Sul";"2011";"Janeiro";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Fevereiro";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Março";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Abril";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Maio";"0"
"África";"Angola";"Mato Grosso do Sul";"2011";"Junho";"0"
